state,Biden,Bloomberg,County,Rpt.,Sanders,Town,Warren
MA,1653,680,,100%,2359,Holyoke,1092
MA,2190,979,,100%,1303,Marshfield,858
MA,2119,840,,100%,1423,Tewksbury,776
MA,2391,865,,100%,881,Sudbury,1359
MA,1993,859,,100%,1431,Danvers,842
MA,2042,889,,100%,1136,Walpole,997
MA,2183,846,,100%,1091,Canton,993
MA,2037,882,,<1%,1046,Sharon,1188
MA,2169,703,,100%,1376,Stoughton,858
MA,2000,736,,100%,1256,Stoneham,991
MA,1804,741,,100%,1285,Burlington,930
MA,2256,819,,100%,1105,Yarmouth,761
MA,2088,877,,100%,1065,Scituate,866
MA,1891,632,,100%,1603,Westfield,709
MA,1719,686,,100%,1513,Dracut,537
MA,1102,361,,100%,2019,Easthampton,1439
MA,1521,511,,100%,1948,Everett,739
MA,1763,622,,100%,1271,Mansfield,877
MA,1773,690,,100%,1176,Wilmington,817
MA,1609,581,,100%,1668,Fitchburg,674
MA,1938,689,,100%,1374,Dartmouth,639
MA,1951,611,,100%,1079,Easton,794
MA,1023,283,,100%,2108,Greenfield,1119
MA,1777,571,,100%,1322,North Attleborough,741
MA,1868,555,,100%,1140,Sandwich,720
MA,1619,611,,100%,1239,Milford,688
MA,1723,666,,100%,1231,Saugus,580
MA,1538,514,,100%,1181,Hudson,846
MA,1811,782,,100%,702,Westwood,875
MA,1569,703,,100%,885,Swampscott,949
MA,1623,480,,20%,1174,Holden,776
MA,1355,434,,100%,1251,Amesbury,831
MA,1374,462,,100%,1190,South Hadley,943
MA,1463,519,,100%,1008,Westborough,902
MA,1521,526,,100%,1184,Bridgewater,633
MA,1441,532,,100%,888,Ashland,888
MA,1449,503,,100%,878,Holliston,920
MA,1313,563,,100%,734,Bedford,1088
MA,1497,588,,100%,1113,Agawam,511
MA,1491,561,,100%,747,Hopkinton,874
MA,1520,661,,100%,794,Dennis,584
MA,1370,512,,100%,1039,Winthrop,664
MA,1286,483,,100%,906,Ipswich,892
MA,1528,580,,100%,811,Bourne,580
MA,843,436,,100%,1650,Chelsea,699
MA,1450,635,,100%,729,Longmeadow,690
MA,1386,474,,100%,877,Northborough,749
MA,1367,410,,100%,1058,Grafton,663
MA,1469,518,,100%,861,Foxborough,607
MA,1410,486,,100%,934,Pembroke,512
MA,1308,451,,100%,1034,Middleborough,532
MA,1493,602,,100%,566,Medfield,644
MA,1307,414,,100%,987,Wareham,498
MA,1264,502,,100%,750,Harwich,571
MA,1266,415,,100%,1074,West Springfield,435
MA,1269,583,,100%,676,Mashpee,468
MA,1274,468,,100%,733,North Reading,559
